Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
49633,4025-23422,Naples,Ontario,NY,14512,Residential,NYS Electric and Gas,,07/06/2011,01/27/2012,Complete,"Solar & Wind FX, Inc.",Enphase Energy,M215-60-240-S2x,36,Canadian Solar,CS6P-230P,36,80134,12250,8.28,13209,POINT (-77.391738 42.639555)
2013-533051-Sola,,Stony Brook,Suffolk,NY,11790,Residential,Long Island Power Authority,Lease,04/19/2013,10/07/2013,Complete,"SUNRUN, INC",Power-One,,2,Trina Sola,,35,39900,12268.03,8.75,10271,POINT (-73.125725 40.903493)
2011-156993-SLPR,,Dix Hills,Suffolk,NY,11746,Residential,Long Island Power Authority,Purchase,04/01/2005,04/01/2005,Complete,,,,0,,,0,20625,12375,2.75,3228,POINT (-73.364729 40.815715)
2011-157409-SLPR,,Wantagh,Nassau,NY,11793,Residential,Long Island Power Authority,Purchase,01/11/2007,01/11/2007,Complete,,,,0,,,0,26000,12480,3.33,3909,POINT (-73.510289 40.683611)
2011-158196-SLPR,,Jamesport,Suffolk,NY,11947,Residential,Long Island Power Authority,Purchase,09/09/2008,09/09/2008,Complete,,,,0,,,0,,12750,3.4,3991,POINT (-72.586562 40.947229)
6091,02001-018-1,Rome,Oneida,NY,13440,Residential,National Grid,,11/21/2005,05/19/2006,Complete,"Great Brook Solar NRG, LLC",Fronius USA,IG 3000,1,Sharp,ND-200U1,16,27105.03,12800,3.2,3347,POINT (-75.454665 43.214717)
2011-160800-SLPR,,Elmont,Nassau,NY,11003,Residential,Long Island Power Authority,Purchase,11/04/2010,11/04/2010,Complete,,,,0,,,0,29743,12852,3.67,4308,POINT (-73.705417 40.699473)
2012-448591-SLPR,,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Purchase,01/09/2012,06/07/2012,Complete,SUNWIZE TECHNOLOGIES,Fronius US,,2,SAMSUNG,,30,34800,12967.5,7.41,8698,POINT (-73.380416 40.653301)
2011-157146-SLPR,,Lake Ronkonkoma,Suffolk,NY,11779,Residential,Long Island Power Authority,Purchase,09/18/2006,09/18/2006,Complete,,,,0,,,0,24750,13312,3.33,3909,POINT (-73.116858 40.815879)
2011-160967-SLPR,,Cutchogue,Suffolk,NY,11935,Residential,Long Island Power Authority,Purchase,11/10/2010,11/10/2010,Complete,,,,0,,,0,27090,13545,3.87,4543,POINT (-72.480611 41.014035)
2011-157048-SLPR,,West Islip,Suffolk,NY,11795,Residential,Long Island Power Authority,Purchase,03/10/2006,03/10/2006,Complete,,,,0,,,0,20000,14000,3.5,4108,POINT (-73.298729 40.711073)
2011-158033-SLPR,,Melville,Suffolk,NY,11747,Residential,Long Island Power Authority,Purchase,02/26/2008,02/26/2008,Complete,,,,0,,,0,28080,14040,3.74,4390,POINT (-73.408441 40.788271)
2011-161148-SLPR,,Elmont,Nassau,NY,11003,Non-Residential,Long Island Power Authority,Purchase,02/16/2011,01/25/2011,Complete,,SMA America,,1,Sharp,,26,28750,14157,5.15,6043,POINT (-73.705417 40.699473)
2013-533612-Sola,,North Merrick,Nassau,NY,11566,Residential,Long Island Power Authority,Purchase,04/30/2013,11/17/2013,Complete,"SIMPLE RAY,LLC",Enphase En,,41,Sharp,,41,40677,14640.53,10.43,12243,POINT (-73.555545 40.668671)
2011-157079-SLPR,,Mattituck,Suffolk,NY,11952,Residential,Long Island Power Authority,Purchase,09/16/2005,09/16/2005,Complete,,,,0,,,0,27520,15200,3.8,4461,POINT (-72.540397 40.995965)
2011-156333-SLPR,,Shelter Island,Suffolk,NY,11964,Residential,Long Island Power Authority,Purchase,03/13/2003,03/13/2003,Complete,,,,0,,,0,21496.5,15300,2.55,2993,POINT (-72.32933 41.06112)
2013-532513-Sola,,West Hempstead,Nassau,NY,11552,Residential,Long Island Power Authority,Lease,04/09/2013,11/13/2013,Complete,SUNPOWER REBATE PROGRAM,SUNPOWER,,4,SunPower,,42,62116,15482.95,13.73,16122,POINT (-73.653385 40.693979)
2011-158961-SLPR,,Water Mill,Suffolk,NY,11976,Residential,Long Island Power Authority,Purchase,05/12/2009,05/12/2009,Complete,,,,0,,,0,38180,16100,4.6,5400,POINT (-72.34152 40.925685)
2011-157145-SLPR,,Yaphank,Suffolk,NY,11980,Residential,Long Island Power Authority,Purchase,02/24/2006,02/24/2006,Complete,,,,0,,,0,32966.4,16320,4.08,4789,POINT (-72.921676 40.830521)
2011-158537-SLPR,,Cutchogue,Suffolk,NY,11935,Residential,Long Island Power Authority,Purchase,12/04/2008,12/04/2008,Complete,,,,0,,,0,42364,16660,4.76,5587,POINT (-72.480611 41.014035)
2011-158964-SLPR,,Center Moriches,Suffolk,NY,11934,Residential,Long Island Power Authority,Purchase,05/12/2009,05/12/2009,Complete,,,,0,,,0,42276,16800,4.8,5634,POINT (-72.795143 40.803541)
2011-157474-SLPR,,Bellport,Suffolk,NY,11713,Non-Residential,Long Island Power Authority,Purchase,08/12/2006,08/12/2006,Complete,,,,0,,,0,21812.5,17784,3.74,4390,POINT (-72.944839 40.777628)
48812,4158-120,Scotia,Schenectady,NY,12302,Residential,National Grid,,09/18/2009,02/24/2010,Complete,"Alteris RPS, LLC",SunPower,SPR-7000m (208V),1,SunPower,SPR-230-WHT-U,32,58597,18720,7.36,8440,POINT (-73.967054 42.866806)
2011-159743-SLPR,,East Meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,11/18/2009,11/18/2009,Complete,,,,0,,,0,39584,19320,5.52,6480,POINT (-73.556907 40.716032)
2011-159349-SLPR,,North Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,10/20/2009,10/20/2009,Complete,,,,0,,,0,29176,19600,5.6,6574,POINT (-73.460296 40.682417)
2011-158652-SLPR,,Sag Harbor,Suffolk,NY,11963,Residential,Long Island Power Authority,Purchase,08/11/2009,08/11/2009,Complete,,,,0,,,0,36465,19635,5.61,6585,POINT (-72.305802 40.976154)
2010-145740-SLPR,,Smithtown,Suffolk,NY,11787,Residential,Long Island Power Authority,Purchase,06/12/2010,12/02/2010,Complete,SUNPOWER REBATE PROGRAM,,,0,,,0,62339.2,20000,10.12,11879,POINT (-73.208486 40.851681)
2011-157023-SLPR,,East Hampton,Suffolk,NY,11937,Residential,Long Island Power Authority,Purchase,01/27/2006,01/27/2006,Complete,,,,0,,,0,42000,22000,5.5,6456,POINT (-72.182673 40.990944)
2011-160765-SLPR,,Woodbury,Nassau,NY,11797,Residential,Long Island Power Authority,Purchase,08/03/2010,08/03/2010,Complete,,,,0,,,0,44730,22365,6.45,7571,POINT (-73.471175 40.812594)
2011-157514-SLPR,,Southampton,Suffolk,NY,11968,Residential,Long Island Power Authority,Purchase,08/08/2007,08/08/2007,Complete,,,,0,,,0,53050,23250,6.2,7278,POINT (-72.411951 40.905862)
2011-157674-SLPR,,Westbury,Nassau,NY,11590,Residential,Long Island Power Authority,Purchase,12/09/2008,12/09/2008,Complete,,,,0,,,0,47299,23625,6.3,7395,POINT (-73.575268 40.75606)
2011-160510-SLPR,,Bellmore,Nassau,NY,11710,Residential,Long Island Power Authority,Purchase,05/21/2010,05/21/2010,Complete,,,,0,,,0,47363,23681.5,7.82,9179,POINT (-73.534468 40.677262)
2011-156725-SLPR,,Westbury,Nassau,NY,11590,Residential,Long Island Power Authority,Purchase,01/30/2004,01/30/2004,Complete,,,,0,,,0,,24000,4.8,5634,POINT (-73.575268 40.75606)
2011-158060-SLPR,,Sag Harbor,Suffolk,NY,11963,Residential,Long Island Power Authority,Purchase,06/10/2008,06/10/2008,Complete,,,,0,,,0,53809,24300,6.48,7606,POINT (-72.305802 40.976154)
2011-160054-SLPR,,Mattituck,Suffolk,NY,11952,Residential,Long Island Power Authority,Purchase,03/31/2010,03/31/2010,Complete,,,,0,,,0,,24570,7.02,8240,POINT (-72.540397 40.995965)
2011-157178-SLPR,,Medford,Suffolk,NY,11763,Residential,Long Island Power Authority,Purchase,12/14/2005,12/14/2005,Complete,,,,0,,,0,47285.2,25840,6.46,7583,POINT (-72.982416 40.822436)
2011-157727-SLPR,,Oakdale,Suffolk,NY,11769,Residential,Long Island Power Authority,Purchase,08/17/2007,08/17/2007,Complete,,,,0,,,0,56112,26302.5,7.01,8229,POINT (-73.131017 40.739354)
2011-160771-SLPR,,Farmingville,Suffolk,NY,11738,Residential,Long Island Power Authority,Purchase,11/18/2010,11/18/2010,Complete,,,,0,,,0,58810,28490,8.14,9555,POINT (-73.03891 40.837174)
2012-457081-SLPR,,Williston Park,Nassau,NY,11596,Residential,Long Island Power Authority,Purchase,02/07/2012,05/10/2011,Complete,,,,1,EVERGREEN,,41,57400,28700,8.2,9625,POINT (-73.64339 40.75915)
2011-159457-SLPR,,Laurel,Suffolk,NY,11948,Residential,Long Island Power Authority,Purchase,09/25/2009,09/25/2009,Complete,,,,0,,,0,75244,33075,9.45,11093,POINT (-72.552736 40.966764)
2011-160105-SLPR,,Port Jefferson Station,Suffolk,NY,11776,Residential,Long Island Power Authority,Purchase,04/10/2010,04/10/2010,Complete,,,,0,,,0,56175,35000,10.12,11879,POINT (-73.047042 40.912552)
2011-157197-SLPR,,Holtsville,Suffolk,NY,11742,Residential,Long Island Power Authority,Purchase,03/28/2006,03/28/2006,Complete,,,,0,,,0,70735,38760,9.69,11375,POINT (-73.042269 40.813075)
2011-157362-SLPR,,North Babylon,Suffolk,NY,11703,Residential,Long Island Power Authority,Purchase,01/18/2008,01/18/2008,Complete,,,,0,,,0,75000,39104,9.78,11480,POINT (-73.323802 40.733915)
2011-157093-SLPR,,Patchogue,Suffolk,NY,11772,Residential,Long Island Power Authority,Purchase,03/17/2006,03/17/2006,Complete,,,,0,,,0,65000,39600,9.9,11621,POINT (-72.995552 40.76922)
2011-157164-SLPR,,Smithtown,Suffolk,NY,11787,Residential,Long Island Power Authority,Purchase,12/05/2006,12/05/2006,Complete,,,,0,,,0,74000,39900,9.98,11715,POINT (-73.208486 40.851681)
2011-160080-SLPR,,Patchogue,Suffolk,NY,11772,Non-Residential,Long Island Power Authority,Purchase,05/21/2010,05/21/2010,Complete,,,,0,,,0,98016,48350,11.34,13311,POINT (-72.995552 40.76922)
2011-156623-SLPR,,Bayport,Suffolk,NY,11705,Residential,Long Island Power Authority,Purchase,11/03/2003,11/03/2003,Complete,,,,0,,,0,60000,49950,9.99,11727,POINT (-73.05358 40.747853)
49354,4054-20168,Tonawanda,Erie,NY,14150,Non-Residential,National Grid,,06/30/2010,12/14/2010,Complete,"Earthsponse, LLC",PV Powered,PVP4600,6,Kyocera Solar,KD210GX-LPU,144,218420,52920,30.24,31917,POINT (-78.867291 42.999597)
2011-156366-SLPR,,Holbrook,Suffolk,NY,11741,Residential,Long Island Power Authority,Purchase,10/09/2002,10/09/2002,Complete,,,,0,,,0,74800,57600,9.6,11269,POINT (-73.072068 40.797268)
2011-156419-SLPR,,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Purchase,10/17/2002,10/17/2002,Complete,,,,0,,,0,59534.2,59400,9.9,11621,POINT (-73.255404 40.729218)
2011-156224-SLPR,,Huntington,Suffolk,NY,11743,Residential,Long Island Power Authority,Purchase,09/28/2002,09/28/2002,Complete,,,,0,,,0,63756,60000,10,11738,POINT (-73.415539 40.871218)
2011-160808-SLPR,,Farmingdale,Suffolk,NY,11735,Residential,Long Island Power Authority,Purchase,11/08/2010,11/08/2010,Complete,,,,0,,,0,179222.4,62336,28.22,33126,POINT (-73.436991 40.727443)
2013-520567-Sola,,Aquebogue,Suffolk,NY,11901,Non-Residential,Long Island Power Authority,Purchase,01/08/2013,06/14/2013,Complete,GREENLOGIC LLC,Enphase En,,204,Canadian S,,204,215209,64974,49.98,58669,POINT (-72.64848 40.932807)
22263,4202-24271,REGO PARK,Queens,NY,11374,Non-Residential,Consolidated Edison,,09/28/2011,05/03/2012,Complete,Best Energy Power,Fronius USA,IG Plus 11.4-3 Delta-208,3,Sharp,NU-U240F2,155,204600,65100,37.2,48686,POINT (-73.86152 40.726729)
48928,4170-163,Bronx,Bronx,NY,10456,Non-Residential,Consolidated Edison,,12/03/2009,02/02/2011,Complete,Mercury Solar,SunPower,SPR-8000f-240,4,SunPower,SPR-305-WHT-U,98,285074.39,74725,29.89,28213,POINT (-73.908566 40.830652)
115033,,Selden,Suffolk,NY,11784,Non-Residential,Long Island Power Authority,Purchase,04/03/2018,,Pipeline,,"Huawei Technologies Co., Ltd",SUN2000-40KTL-US,14,LG Electronics,LG400N2W-A5,1808,1793536,75000,723.2,873605,POINT (-73.04142 40.86939)
49816B-1,,Buchanan,Westchester,NY,10511,Non-Residential,Consolidated Edison,Power Purchase Agreement,08/08/2017,04/01/2016,Complete,"TerraForm Solar XVIII, LLC",,,,,,,551041,76861.26,184.14,216151,POINT (-73.943803 41.259201)
2011-159846-SLPR,,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Purchase,02/19/2010,02/19/2010,Complete,,,,0,,,0,270678,96000,51,59866,POINT (-73.255404 40.729218)
2011-161149-SLPR,,Franklin Square,Nassau,NY,11010,Non-Residential,Long Island Power Authority,Purchase,02/16/2011,01/13/2011,Complete,,SMA America,,1,Solyndra,,285,672800,146870,51.87,60887,POINT (-73.675229 40.700894)
2010-145754-SLPR,,Commack,Suffolk,NY,11725,Non-Residential,Long Island Power Authority,Purchase,06/12/2010,12/30/2010,Complete,BBS ARCHITECTS,,,0,,,0,350000,150352,50.18,58903,POINT (-73.280971 40.839488)
4129,4202-36513,Bronx,Bronx,NY,10461,Non-Residential,Consolidated Edison,Purchase,10/24/2013,08/19/2014,Complete,Best Energy Power,SolarEdge Technologies,SE20K,10,Sharp,ND-250QCS,1000,1037500,200000,250,308521,POINT (-73.840311 40.846823)
31307-1,,Saratoga Springs,Saratoga,NY,12866,Non-Residential,National Grid,Purchase,02/22/2013,09/23/2013,Complete,EnterSolar LLC,,,,,,,1825000,570719,598.26,576483,POINT (-73.759248 43.07772)
31302-1,,Schenectady,Schenectady,NY,12302,Non-Residential,National Grid,Purchase,02/21/2013,12/30/2013,Complete,EnterSolar LLC,,,,,,,1695000,657281.2,689,663920,POINT (-73.967054 42.866806)
49840-1,,Jamesville,Onondaga,NY,13078,Non-Residential,National Grid,Power Purchase Agreement,10/15/2014,06/19/2018,Complete,Tesla Energy Operations Inc,,,,,,,4515711,927304,2468.67,2897824,POINT (-76.069719 42.976691)
254183,,Walton,Delaware,NY,13856,Non-Residential,NYS Electric and Gas,Purchase,07/23/2020,,Pipeline,Lodestar Energy,SMA America,SC 2750-EV-US [600V],1,JA Solar,JAM72S01-380/PR,11856,4485227,1666953.6,4505.28,0,POINT (-75.164794 42.17512)
246023,,Waddington,St. Lawrence,NY,13660,Non-Residential,National Grid,Lease,05/22/2020,,Pipeline,Nexamp Inc,SMA America,SB2500HFUS-30 [208V],2,JA Solar,JAM72D09-385/BP,18070,2195000,2713210.5,6956.95,9750861,POINT (-75.153908 44.772478)
51327,4355-0118-Financing,New Hyde Park,Nassau,NY,11040,Residential,Long Island Power Authority,Purchase,06/14/2016,09/21/2016,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 7600A-US (240V),1,SunPower,SPR-X21-345,23,31636,,7.94,8680,POINT (-73.680183 40.744867)
276344,,Bronx,Bronx,NY,10472,Residential,Consolidated Edison,Purchase,01/27/2021,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],13,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,13,50278,832,4.16,4327,POINT (-73.869836 40.829533)
2557,2035-1,Dobbs Ferry,,NY,10522,Non-Residential,Consolidated Edison,,12/15/2011,12/15/2011,Complete,,PV Powered,PVP50KW-208,1,Sharp,NU-U240F1,204,,,48.96,52433,POINT (-73.864226 41.011999)
253455,,Farmingdale,Nassau,NY,11735,Residential,Long Island Power Authority,Purchase,07/10/2020,10/30/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],30,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,30,36791.7,,10.2,12673,POINT (-73.436991 40.727443)
277298,,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Purchase,11/19/2020,01/26/2021,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],27,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,27,33760.03,,9.18,10960,POINT (-73.380416 40.653301)
126809,,Schenectady,Schenectady,NY,12303,Residential,National Grid,Lease,08/11/2018,09/14/2018,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A [240V],1,Hanwha Q CELLS,Q.PRO-G4/SC 265,16,18062.4,935,4.24,3560,POINT (-73.932117 42.759175)
240490,,Ridgewood,Queens,NY,11385,Residential,Consolidated Edison,Purchase,03/13/2020,,Pipeline,,SMA America,SB3.0-1SP-US-41 [208V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60HIB-310M,10,30127.35,620,3.1,3384,POINT (-73.887118 40.702695)
243168,,Brooklyn,Kings,NY,11208,Residential,Consolidated Edison,Lease,07/03/2020,07/21/2020,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [208V],10,Sunpower,SPR-E20-327-E-AC,10,15696,654,3.27,4063,POINT (-73.872692 40.673742)
56595,5293-71230-GJ,East Northport,Suffolk,NY,11731,Residential,Long Island Power Authority,Purchase,09/08/2015,04/05/2016,Complete,Direct Energy Solar (formerly Astrum),Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),19,LG Electronics Solar Cell Division,LG300N1K-G4,19,22215,764,5.7,7454,POINT (-73.317892 40.864834)
271589,,Brooklyn,Kings,NY,11210,Residential,Consolidated Edison,Purchase,12/04/2020,02/11/2021,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,10,43681,640,3.2,3500,POINT (-73.946445 40.627743)
78939,,Utica,Oneida,NY,13501,Residential,National Grid,Lease,01/19/2017,04/24/2017,Complete,Tesla Energy Operations Inc.,Delta Electronics,SOLIVIA 3.8 NA G4 TL (240V),1,Hanwha Q CELLS,Q.PLUS-G4.1/SC 280,8,9542.4,896,2.24,2388,POINT (-75.228495 43.085324)
274860,,White Plains,Westchester,NY,10603,Residential,Consolidated Edison,Power Purchase Agreement,01/06/2021,02/01/2021,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,LG Electronics Inc.,LG350N1C-V5,14,18032,980,4.9,4765,POINT (-73.777471 41.054753)
232834,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Purchase,01/25/2020,,Pipeline,,SMA America,SB3.0-1SP-US-41 [240V],1,AXITEC,AC-320MH/120S,10,28624.79,1023,3.2,3976,POINT (-73.902635 40.640299)
2335,17946-60,Newburgh,,NY,12550,Residential,Central Hudson Gas and Electric,,05/30/2012,05/30/2012,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3300 (240V) w/ -ER-US or A-US,1,Yingli Energy (China),YL235P-29b,17,,,4,4120,POINT (-74.046775 41.529205)
21755,4704-59974,Poughkeepsie,Dutchess,NY,12601,Residential,Central Hudson Gas and Electric,Lease,03/03/2015,05/04/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Yingli Energy (China),YL250P-29b,8,11220,798,2,1887,POINT (-73.916509 41.701885)
229589,,Syosset,Nassau,NY,11791,Residential,Long Island Power Authority,Purchase,01/06/2020,07/09/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],30,"S-Energy Co., Ltd.",SN370M-10(B),30,53459,,11.1,13578,POINT (-73.502403 40.818622)
260038,,Bellarose,Queens,NY,11426,Residential,Consolidated Edison,Lease,09/01/2020,10/29/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],12,LG Electronics Inc.,LG345N1C-V5,12,8984,828,4.14,4137,POINT (-73.72377 40.735486)
40771,4704-81325,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Power Purchase Agreement,11/18/2015,08/01/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,12,17472,624,3.12,4060,POINT (-73.255404 40.729218)
260240,,Islip,Suffolk,NY,11751,Residential,Long Island Power Authority,Purchase,09/01/2020,10/12/2020,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],18,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,18,30155,,6.12,7711,POINT (-73.213996 40.737542)
182850,,Long Beach,Nassau,NY,11561,Residential,Long Island Power Authority,Purchase,04/17/2019,06/11/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],27,"S-Energy Co., Ltd.",SN360M-10,27,34992,,9.72,11027,POINT (-73.660291 40.588332)
271594,,South Ozone Park,Queens,NY,11420,Residential,Consolidated Edison,Purchase,11/17/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],10,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,10,41000,640,3.2,3673,POINT (-73.815675 40.673382)
48458,4154-0343-Financing,Great Neck,Nassau,NY,11020,Residential,Long Island Power Authority,Purchase,08/18/2016,12/05/2016,Complete,Green Logic LLC,SMA America,SB5000TL-US-22 (240V),2,SunPower,SPR-E19-320,29,37257,,9.28,9552,POINT (-73.71491 40.771498)
265254,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Lease,10/03/2020,11/03/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],21,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,21,18820,898,6.51,6189,POINT (-73.856919 40.819283)
106698,,Seaford,Nassau,NY,11783,Residential,Long Island Power Authority,Purchase,01/10/2018,02/14/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE3800H-US,1,Silfab,SLA310M,14,15710,,4.34,4008,POINT (-73.491332 40.67888)
260631,,Cuddebackville,Orange,NY,12729,Residential,Orange and Rockland Utilities,Purchase,09/10/2020,12/22/2020,Complete,"Apex Solar Power, LLC",SolarEdge Technologies Ltd.,SE3000H-US [240V],1,LG Electronics Inc.,LG370Q1C-A5,9,21135.8,758,3.33,2703,POINT (-74.602148 41.471864)
43902,5159-78705,Babylon,Suffolk,NY,11702,Residential,Long Island Power Authority,Power Purchase Agreement,11/11/2015,03/21/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,15,22950,900,4.5,5581,POINT (-73.380416 40.653301)
18920,4594-50158,Hicksville,Nassau,NY,11801,Residential,Long Island Power Authority,Lease,11/19/2014,07/10/2015,Complete,"Eastern Energy Systems, Inc.",SMA America,SB3000TL-US-22 (240V),1,Hanwha Q CELLS (Qidong),HSL60P6-PA-0-255TW,12,12356.98,857,3.06,2913,POINT (-73.523021 40.762643)
2356,17944-17,Rexford,,NY,12148,Residential,National Grid,,02/04/2011,02/04/2011,Complete,Alteris Renewables,Fronius USA,IG Plus 7.5-240,3,Schuco USA,SPV 210 SMAU-1,111,,,23.31,27982,POINT (-73.852723 42.840999)
115211,,Ossining,Westchester,NY,10562,Residential,Consolidated Edison,Purchase,03/27/2018,04/20/2018,Complete,SunRun Inc.,ABB,PVI-3.0-OUTD-S-US-A (240V),1,REC Solar,REC285TP2 BLK,9,10789,1026,2.57,2730,POINT (-73.841562 41.182134)
61720,4704-89512,Lynbrook,Nassau,NY,11563,Residential,Long Island Power Authority,Power Purchase Agreement,02/02/2016,06/12/2017,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,13,18928,676,3.38,4475,POINT (-73.673957 40.657513)
273820,,Brooklyn,Kings,NY,11234,Residential,Consolidated Edison,Power Purchase Agreement,02/05/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],6,LG Electronics Inc.,LG350N1C-V5,6,8190,420,2.1,2297,POINT (-73.919271 40.615992)
39925,5320-71181,Uniondale,Nassau,NY,11553,Residential,Long Island Power Authority,Lease,09/02/2015,05/18/2016,Complete,Sunnova Energy Corp.,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,18,14914.89,936,4.68,6273,POINT (-73.591014 40.704884)
241654,,New Rochelle,Westchester,NY,10805,Residential,Consolidated Edison,Purchase,04/28/2020,12/15/2020,Complete,Kasselman Solar LLC,SolarEdge Technologies Ltd.,SE11400H-US [240V],1,LG Electronics Inc.,LG350N1C-V5,7,11016,490,2.45,2884,POINT (-73.779264 40.898088)
125693,,Lindenhurst,Suffolk,NY,11757,Residential,Long Island Power Authority,Purchase,06/11/2018,09/06/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Silfab,SLA310M,13,20127.5,,4.03,4793,POINT (-73.374734 40.690158)
164810,,Brooklyn,Kings,NY,11207,Residential,Consolidated Edison,Power Purchase Agreement,12/05/2018,04/22/2019,Complete,Momentum Solar (dba for Pro Custom Solar LLC),Enphase Energy Inc.,IQ7-60-x-US [208V],12,"LONGi Green Energy Technology Co., Ltd.",LR6-60PB-300M,12,19800,832,3.6,3744,POINT (-73.893934 40.670047)
161371,,Levittown,Nassau,NY,11756,Residential,Long Island Power Authority,Purchase,11/01/2018,01/07/2019,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE6000H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,18,23511.6,,6.48,6165,POINT (-73.517198 40.725845)
264841,,Staten Island,Richmond,NY,10304,Residential,Consolidated Edison,Purchase,09/29/2020,12/22/2020,Complete,SunPower Capital LLC,SunPower,SPR-A410-G-AC [240V],6,Sunpower,SPR-A410-G-AC,6,13922.71,492,2.46,2714,POINT (-74.092177 40.606587)
190569,,Oyster Bay,Nassau,NY,11771,Residential,Long Island Power Authority,Purchase,06/28/2019,10/23/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,Solaria Corporation,Solaria PowerXT-360R-PD,13,20451.2,,4.68,5504,POINT (-73.526447 40.867468)
122700,,White Plains,Westchester,NY,10603,Residential,Consolidated Edison,Purchase,06/15/2018,08/08/2018,Complete,"DMV EQUITY, INC.",SunPower,MI-C-320-US240-xx [240V],12,SunPower,SPR-X21-345-D-AC,12,17388,845,4.14,3689,POINT (-73.777471 41.054753)
120081,,Queens,Queens,NY,11385,Residential,Consolidated Edison,Lease,05/09/2018,09/19/2018,Complete,SunRun Inc.,Enphase Energy Inc.,IQ6-60-x-US [240V],10,Trina Solar,TSM-290DD05A.05(II),10,10645.9,870,2.9,3730,POINT (-73.887118 40.702695)
275753,,East Northport,Suffolk,NY,11731,Residential,Long Island Power Authority,Purchase,11/30/2020,01/14/2021,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],36,Hanwha Q CELLS,Q.PEAK DUO-G6 340,36,39780,,12.24,12537,POINT (-73.317892 40.864834)
