Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
222214,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Lease,12/25/2019,02/25/2020,Complete,Momentum Capital LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],12,LG Electronics Inc.,LG350N1C-V5,12,14431.8,857,4.2,3857,POINT (-73.902635 40.640299)
129025,,RENSSELAER,Rensselaer,NY,12144,Residential,National Grid,Power Purchase Agreement,09/20/2018,10/24/2018,Complete,Vivint Solar Development LLC,Enphase Energy Inc.,IQ6-60-x-US [240V],8,"JA Solar Technology Co, Ltd",JAM60S01-295/PR,8,6828.8,603,2.36,2308,POINT (-73.718904 42.635553)
264741,,Baldwin,Nassau,NY,11510,Residential,Long Island Power Authority,Purchase,09/23/2020,11/13/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],24,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,24,44189.36,,8.16,9753,POINT (-73.609748 40.654614)
77905,,ROOSEVELT,Nassau,NY,11575,Residential,Long Island Power Authority,Purchase,12/20/2016,04/05/2017,Complete,Harvest Power,SolarEdge Technologies,SE 7600A-US (240V),1,LG Electronics,LG310N1C-G4,29,35412,,8.99,8618,POINT (-73.586597 40.680654)
220031,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Purchase,11/05/2019,02/20/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],10,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,10,14365.5,930,3.1,3893,POINT (-73.902635 40.640299)
257567,,Fresh Meadows,Queens,NY,11365,Residential,Consolidated Edison,Lease,08/08/2020,11/05/2020,Complete,Sunnova Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],6,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,6,8200.8,408,2.04,2038,POINT (-73.793039 40.739381)
248985,,Saint Albans,Queens,NY,11412,Residential,Consolidated Edison,Purchase,07/11/2020,11/03/2020,Complete,Surf Clean Energy Inc,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],10,"LONGi Green Energy Technology Co., Ltd.",LR6-72PH-360M,10,22000,720,3.6,3671,POINT (-73.759234 40.698064)
104017,,Massapqua,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,11/15/2017,02/12/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE6000H-US,1,LG Electronics,LG335N1C-A5,20,23100,,6.7,6750,POINT (-73.460296 40.682417)
275710,,Jamaica,Queens,NY,11434,Residential,Consolidated Edison,Power Purchase Agreement,02/05/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],13,LG Electronics Inc.,LG350N1C-V5,13,15788.51,592,4.55,3994,POINT (-73.775656 40.676003)
248649,,Plainview,Nassau,NY,11803,Residential,Long Island Power Authority,Purchase,05/29/2020,06/23/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7X-96-x-ACM-US [240V],26,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,26,32586.14,,8.84,9466,POINT (-73.476569 40.781109)
293861,,Brooklyn,Kings,NY,11236,Residential,Consolidated Edison,Power Purchase Agreement,02/27/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],23,LG Electronics Inc.,LG350N1C-V5,23,26082,982,8.05,6674,POINT (-73.902635 40.640299)
268412,,Brooklyn,Kings,NY,11207,Residential,Consolidated Edison,Purchase,10/14/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [208V],9,LG Electronics Inc.,LG340N1C-V5,9,12117.6,612,3.06,3389,POINT (-73.893934 40.670047)
203706,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Lease,07/25/2019,10/11/2019,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],9,LG Electronics Inc.,LG335N1C-A5,9,11577.6,904,3.02,3424,POINT (-73.856919 40.819283)
39434,4704-70245,Lake Grove,Suffolk,NY,11755,Residential,Long Island Power Authority,Power Purchase Agreement,07/31/2015,10/28/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,19,26600,675,4.75,6230,POINT (-73.117204 40.857024)
48743,4594-84299,Mattituck,Suffolk,NY,11952,Residential,Long Island Power Authority,Purchase,01/05/2016,05/16/2016,Complete,"Eastern Energy Systems, Inc.",Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),26,LG Electronics Solar Cell Division,LG315N1C-G4,26,30000,983,8.19,6195,POINT (-72.540397 40.995965)
33498,5159-63441,Sag Harbor,Suffolk,NY,11963,Residential,Long Island Power Authority,Power Purchase Agreement,05/09/2015,01/23/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Yingli Energy (China),YL255P-29b,18,23409,1033,4.59,5143,POINT (-72.305802 40.976154)
205866,,Bronx,Bronx,NY,10462,Residential,Consolidated Edison,Purchase,08/06/2019,01/27/2021,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],10,Trina Solar,TSM-305DD05A.05(II),10,12657.5,915,3.05,4049,POINT (-73.857475 40.841597)
37278,5098-70806,Roosevelt,Nassau,NY,11575,Residential,Long Island Power Authority,Lease,08/10/2015,04/28/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),10,LG Electronics Solar Cell Division,LG275S1C-B3,10,11000,550,2.75,3720,POINT (-73.586597 40.680654)
257314,,East Elmhurst,Queens,NY,11369,Residential,Consolidated Edison,Purchase,08/06/2020,,Pipeline,,SunPower,SPR-E20-327-E-AC [240V],9,Sunpower,SPR-E20-327-E-AC,9,14926,330,2.94,2255,POINT (-73.872334 40.763688)
257582,,Islip Terrace,Suffolk,NY,11752,Residential,Long Island Power Authority,Purchase,08/11/2020,09/10/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-US-& [240V],28,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,28,34513.92,,9.52,9145,POINT (-73.182662 40.755051)
2392,17946-50,Ossining,,NY,10562,Residential,Consolidated Edison,,03/16/2012,03/16/2012,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Kyocera Solar,KD215GX-LPU,18,,,3.87,4934,POINT (-73.841562 41.182134)
278660,,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,12/08/2020,02/01/2021,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-ACM-US [240V],28,Hanwha Q CELLS,Q.PEAK DUO-G6 340,28,35480,,9.52,12520,POINT (-73.460296 40.682417)
121655,,Staten Island,New York,NY,10306,Residential,Consolidated Edison,Lease,05/24/2018,07/12/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,14,24952.2,907,4.2,4069,POINT (-74.11862 40.568821)
264716,,Jamaica,Queens,NY,11433,Residential,Consolidated Edison,Purchase,09/25/2020,10/30/2020,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],8,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,8,38220,512,2.56,2878,POINT (-73.787795 40.697789)
34524,4704-63996,Hicksville,Nassau,NY,11801,Residential,Long Island Power Authority,Lease,05/05/2015,05/26/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),2,Trina Solar,TSM-255PD05.18,35,49980,696,8.93,12199,POINT (-73.523021 40.762643)
185038,,North Babylon,Suffolk,NY,11703,Residential,Long Island Power Authority,Purchase,05/08/2019,07/30/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],22,"S-Energy Co., Ltd.",SN360M-10,22,27000.22,,7.92,8769,POINT (-73.323802 40.733915)
291544,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Lease,02/11/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],12,REC Solar,REC330TP3M Black,12,18860,792,3.96,3744,POINT (-73.933487 40.649707)
228761,,Corona,Queens,NY,11368,Residential,Consolidated Edison,Lease,01/16/2020,02/17/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],9,REC Solar,REC290TP2 BLK,9,6585,783,2.61,2972,POINT (-73.854504 40.749412)
79602,,Croton On Hudson,Westchester,NY,10520,Residential,Consolidated Edison,Purchase,01/31/2017,09/22/2017,Complete,Sungevity Inc,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-265PD05.05,20,20548,,5.3,5294,POINT (-73.882182 41.217937)
